물품 판매 현황					
					
판매번호	지점	분류	품번	수량	단가
21S1001	서울종로지점	목재	OP-3002	5	400000
21S1002	충남천안지점	철재	DP-2010	3	300000
21S1003	경기수원지점	철재	DP-3010	2	350000
21S1004	경기구리지점	목재	OP-2020	4	320000
21S1005	서울종로지점	목재	OP-3002	6	400000
21S1006	서울노원지점	목재	OP-1052	1	270000
21S1007	충남천안지점	철재	DP-1050	4	250000
21S1008	경기안산지점	목재	OP-3002	4	400000
21S1009	경기수원지점	철재	DP-2010	6	300000
21S1010	경기구리지점	목재	OP-1052	5	270000
21S1011	충남천안지점	목재	OP-1052	4	270000
21S1012	경기수원지점	목재	OP-3002	1	400000
21S1013	경기안산지점	목재	OP-2020	6	320000
21S1014	인천계양지점	철재	DP-2010	1	300000
21S1015	충남천안지점	철재	DP-1050	4	250000
21S1016	서울노원지점	철재	DP-2010	2	300000
21S1017	경기수원지점	철재	DP-3010	6	350000
21S1018	경기수원지점	목재	OP-2020	5	320000
21S1019	충남천안지점	철재	DP-1050	4	250000
21S1020	경기구리지점	목재	OP-1052	1	270000
21S1021	충남천안지점	철재	DP-1050	15	250000
21S1022	경기구리지점	목재	OP-3002	4	400000
21S1023	충남천안지점	철재	DP-1050	3	250000
21S1024	경기수원지점	목재	OP-2020	5	320000
21S1025	경기구리지점	철재	DP-3010	6	350000
21S1026	경기구리지점	목재	OP-2020	5	320000
21S1027	충남천안지점	철재	DP-1050	4	250000
21S1028	경기수원지점	목재	OP-1052	1	270000
21S1029	충남천안지점	철재	DP-1050	15	250000
21S1030	경기수원지점	목재	OP-3002	4	400000
21S1031	충남천안지점	철재	DP-2010	3	300000
21S1032	경기구리지점	목재	OP-2020	5	320000
21S1033	경기안산지점	철재	DP-2010	5	300000
21S1034	인천계양지점	목재	OP-1052	5	270000
21S1035	충남천안지점	철재	DP-1050	8	250000
21S1036	서울종로지점	목재	OP-2020	3	320000
21S1037	서울노원지점	철재	DP-2010	1	300000
21S1038	경기수원지점	목재	OP-3002	5	400000
21S1039	경기구리지점	철재	DP-3010	1	350000
21S1040	충남천안지점	목재	OP-1052	6	270000
21S1041	서울노원지점	철재	DP-2010	2	300000
21S1042	인천계양지점	목재	OP-2020	2	320000
21S1043	경기구리지점	철재	DP-2010	5	300000
21S1044	충남천안지점	목재	DP-1050	3	250000
21S1045	경기안산지점	목재	OP-2020	12	320000
21S1046	서울노원지점	목재	OP-1052	1	270000
21S1047	서울노원지점	목재	OP-3002	5	400000
21S1048	충남천안지점	철재	DP-1050	3	250000
21S1049	경기수원지점	목재	OP-1052	3	270000
21S1050	서울노원지점	철재	DP-2010	1	300000
21S1051	충남천안지점	철재	DP-3010	9	350000
21S1052	경기수원지점	목재	OP-2020	8	320000
21S1053	경기안산지점	목재	OP-1052	6	270000
21S1054	서울종로지점	철재	DP-2010	5	300000
21S1055	경기구리지점	철재	DP-1050	7	250000
21S1056	충남천안지점	목재	OP-3002	5	400000
21S1057	경기구리지점	철재	DP-3010	7	350000
21S1058	인천계양지점	목재	OP-1052	1	270000
21S1059	서울노원지점	목재	OP-2020	3	320000
21S1060	경기구리지점	철재	DP-2010	9	300000
21S1061	경기수원지점	목재	OP-1052	5	270000
21S1062	충남천안지점	목재	OP-3002	4	400000
